ORDER,Time,Location,"Type of bomb (Incendiary Bomb= IB Explosive Bomb= EB, COB= Crude Oil Bomb)",Damage or other details (All dimensions at in ft unless stated),lat,lng,geocoder_match,geocoder_source
1,00:08,"43 Southwark Park Road, SE16, London, UK",IB,Grocers: 3x2 roof damaged,51.49289600,-0.07175160,"43 Southwark Park Rd., London SE16 2EG, UK",Google
2,00:10,"49 Southwark Park road, Bermondsey, SE16, London, UK",IB,Bakers: 3x2 roof damaged,51.49264100,-0.07211110,"49 Southwark Park Rd., London SE16, UK",Google
3,00:15,"84 Southwark Park Road, SE16, London, UK",IB,front room on 1st floor and contents slightly damaged. 3x2 rood damage,51.49260530,-0.07028140,"84 Southwark Park Rd., London SE16 3RS, UK",Google
4,00:18,"141 Braidwood Road, Catford SE6, London, UK",IB,10x6 roof damage,51.44098820,-0.00273680,"141 Braidwood Rd, London SE6 1QY, UK",Google
5,00:20,"129 Killearn Road, Catford SE6, London, UK",IB,Front room on 1st floor severely damaged,51.44165860,-0.00349610,"129 Killearn Rd, London SE6 1BS, UK",Google
6,00:20,"27 Crutchley Road, Downham, London, UK",IB,IB on enclosed ground at rear of premises,51.43619180,0.00550290,"27 Crutchley Rd, London SE6 1QN, UK",Google
7,00:20,"Sandhurst Road School, Catford, SE6, London, UK",IB,"HM War Dept. Royal Air Force. Iron and Timer shed, 60x40 used as messroom and store room ",51.44210350,-0.00860500,"Sandhurst Rd, London SE6, UK",Google
8,00:20,"5 Bacon Grove, Bermondsey, SE1, London, UK",IB,3x2 Wood fencing damage,51.49494330,-0.07653640,"5 Bacon Grove, London SE1, UK",Google
9,00:21,"54 Laleham Road Catford, SE6, London, UK",IB,Middle room damaged,51.44609810,-0.01309330,"54 Laleham Rd, London SE6 2HU, UK",Google
10,00:26,"5 Chalsey Road, Brokerley, SE6, London, UK",EB,Private house damaged,51.46009050,-0.03095810,"5 Chalsey Rd, London SE4 1YN, UK",Google
11,00:26,"84 Tyrwhitt Road, Brockley, SE4, London, UK",IB,2x1 roof damage,51.46385360,-0.02483360,"84 Tyrwhitt Rd, London SE4 1QB, UK",Google
12,00:27,"20 Jutland Road, Catford SE6, London, UK",EB,Five private houses severely damaged,51.44457130,-0.01510270,"20 Jutland Rd, London SE6 2DQ, UK",Google
13,00:27,"Jutland Road Catford SE6, London, UK",EB,17 private houses damaged ,51.44491820,-0.01470270,"Jutland Rd, London SE6, UK",Google
14,00:27,"86 Torridon Road, Catford SE6, London, UK",IB,2x1 roof damage,51.43976640,-0.00206780,"86 Torridon Rd, London SE6 1RD, UK",Google
15,00:30,"91 Ardgowan Road, Catford SE6, London, UK",Shrapnel,2x1 roof damage,51.44161230,-0.00058270,"91 Ardgowan Rd, London SE6 1UY, UK",Google
16,00:30,"96 Tressillain Road, Brockley SE4, London, UK",EB,2 private houses damaged and 14 privates houses damaged,51.46305130,-0.02845770,"96 Tressillian Rd, London SE4 1YD, UK",Google
17,00:32,"Tustin Street, Camberwell, SE16 , London, UK",IB,2x1 roadway damage,51.49660220,-0.04984570,"London SE16, UK",Google
18,00:32,"503 Old Kent Road, SE1, London, UK",High Explosive Bomb,"back room on 1st floor and contents slightly damaged. 40x20, contents damage",51.48511340,-0.06897300,"503 Old Kent Rd, London SE1 5JS, UK",Google
19,00:32,"Avondale Square SE1, London, UK",EB,"back room on 1st floor and contents slightly damaged. 40x20, contents damage",51.48654410,-0.06975220,"Avondale Square, London SE1, UK",Google
20,00:33,"115 Fordel Road, Lewisham SE13, London, UK",IB,IB on enclosed ground at rear of premises,51.44361200,-0.00326790,"115 Fordel Rd, London SE6 1XT, UK",Google
21,00:34,"108 Fordel  Road, Catford, SE6, London, UK",IB,4x3 wodden fence,51.44333330,-0.00376510,"108 Fordel Rd, London SE6 1XR, UK",Google
22,00:34,"138 Engleheart Road, Catford,SE6, London, UK",EB,All private houses damaged,51.44343910,-0.01253070,"138 Engleheart Rd, London SE6 2ET, UK",Google
23,00:34,"Adelaide Avnue, Brockley SE4, London, UK",EB,"St. Cyprian's Church, severley damaged by explosive",51.45903790,-0.03254650,"Adelaide Ave, London, UK",Google
