query,lat,lng,formatted
"43 Southwark Park Road, SE16, London, UK, London, UK",51.49289600,-0.07175160,"43 Southwark Park Rd., London SE16 2EG, UK"
"49 Southwark Park road, Bermondsey, SE16, London, UK, London, UK",51.49264100,-0.07211110,"49 Southwark Park Rd., London SE16, UK"
"84 Southwark Park Road, SE16, London, UK, London, UK",51.49260530,-0.07028140,"84 Southwark Park Rd., London SE16 3RS, UK"
"141 Braidwood Road, Catford SE6, London, UK, London, UK",51.44098820,-0.00273680,"141 Braidwood Rd, London SE6 1QY, UK"
"129 Killearn Road, Catford SE6, London, UK, London, UK",51.44165860,-0.00349610,"129 Killearn Rd, London SE6 1BS, UK"
"27 Crutchley Road, Downham, London, UK, London, UK",51.43619180,0.00550290,"27 Crutchley Rd, London SE6 1QN, UK"
"Sandhurst Road School, Catford, SE6, London, UK, London, UK",51.44210350,-0.00860500,"Sandhurst Rd, London SE6, UK"
"5 Bacon Grove, Bermondsey, SE1, London, UK, London, UK",51.49494330,-0.07653640,"5 Bacon Grove, London SE1, UK"
"54 Laleham Road Catford, SE6, London, UK, London, UK",51.44609810,-0.01309330,"54 Laleham Rd, London SE6 2HU, UK"
"5 Chalsey Road, Brokerley, SE6, London, UK, London, UK",51.46009050,-0.03095810,"5 Chalsey Rd, London SE4 1YN, UK"
"84 Tyrwhitt Road, Brockley, SE4, London, UK, London, UK",51.46385360,-0.02483360,"84 Tyrwhitt Rd, London SE4 1QB, UK"
"20 Jutland Road, Catford SE6, London, UK, London, UK",51.44457130,-0.01510270,"20 Jutland Rd, London SE6 2DQ, UK"
"Jutland Road Catford SE6, London, UK, London, UK",51.44491820,-0.01470270,"Jutland Rd, London SE6, UK"
"86 Torridon Road, Catford SE6, London, UK, London, UK",51.43976640,-0.00206780,"86 Torridon Rd, London SE6 1RD, UK"
"91 Ardgowan Road, Catford SE6, London, UK, London, UK",51.44161230,-0.00058270,"91 Ardgowan Rd, London SE6 1UY, UK"
"96 Tressillain Road, Brockley SE4, London, UK, London, UK",51.46305130,-0.02845770,"96 Tressillian Rd, London SE4 1YD, UK"
"Tustin Street, Camberwell, SE16 , London, UK, London, UK",51.49660220,-0.04984570,"London SE16, UK"
"503 Old Kent Road, SE1, London, UK, London, UK",51.48511340,-0.06897300,"503 Old Kent Rd, London SE1 5JS, UK"
"Avondale Square SE1, London, UK, London, UK",51.48654410,-0.06975220,"Avondale Square, London SE1, UK"
"115 Fordel Road, Lewisham SE13, London, UK, London, UK",51.44361200,-0.00326790,"115 Fordel Rd, London SE6 1XT, UK"
"108 Fordel  Road, Catford, SE6, London, UK, London, UK",51.44333330,-0.00376510,"108 Fordel Rd, London SE6 1XR, UK"
"138 Engleheart Road, Catford,SE6, London, UK, London, UK",51.44343910,-0.01253070,"138 Engleheart Rd, London SE6 2ET, UK"
"Adelaide Avnue, Brockley SE4, London, UK, London, UK",51.45903790,-0.03254650,"Adelaide Ave, London, UK"
"Nos 82-184 inclusive, London, UK, London, UK",51.49362140,-0.28006330,"Power Rd, Chiswick, London W4 5PY, UK"
"Ivy Lane, Brockley, SE4, London, UK, London, UK",51.45844660,-0.03331860,"Ivy Rd, London, UK"
"Verney Road, Old Kent Road, SE16, London, UK, London, UK",51.48547310,-0.07008780,"Old Kent Rd, London, UK"
"127 Minard Road, Catford, SE6, London, UK, London, UK",51.44107910,0.00058270,"127 Minard Rd, London SE6 1NN, UK"
"124 Southwark Park Road, SE16, London, UK, London, UK",51.49245810,-0.06824560,"124 Southwark Park Rd., London SE16 3RP, UK"
"613 Old Kent Road Se15, London, UK, London, UK",51.48366800,-0.06452790,"593-613 Old Kent Rd, London SE15 1LA, UK"
"709 Old Kent Road SE1, London, UK, London, UK",51.48241270,-0.06040870,"709 Old Kent Rd, London SE15 1JZ, UK"
"348 St. James' Road SE1, London, UK, London, UK",51.48518050,-0.06579800,"348 St James's Rd, London, UK"
"Sportsbank Street, Catford, SE6., London, UK, London, UK",51.44399820,-0.01189790,"Sportsbank St, London SE6, UK"
"101 Storks Road, Bermondsey, SE16, London, UK, London, UK",51.49581500,-0.06465550,"101 Stork's Rd, London SE16 4DE, UK"
"Chadwick road, Peckham, SE15, London, UK, London, UK",51.46807850,-0.07281900,"Chadwick Rd, London, UK"
"9 Love Walk, Camberwell, SE5, London, UK, London, UK",51.47138140,-0.08858850,"9 Love Walk, London SE5 8AD, UK"
"27 Claude Road, Peckham SE15, London, UK, London, UK",51.46740980,-0.06418130,"Claude Rd, London SE15, UK"
"33 Claude Road, Peckham, SE15, London, UK, London, UK",51.46740980,-0.06418130,"Claude Rd, London SE15, UK"
"190 Rye Lane, Peckham, SE15, London, UK, London, UK",51.46720690,-0.06650850,"190 Rye Ln, Greater, London SE15 4NF, UK"
"290 Southampton Way, Peckham, SE15, London, UK, London, UK",51.47590910,-0.07844170,"290 Southampton Way, London SE5 7EN, UK"
